month,ADM3_EN,LST_day_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len
2023-10,Addis Ketema,26.1235733979908,0.0010508656941975356,0.0010451220130150319,0.0010419963910738596,325.76479956032574,280921.71484375,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
2023-10,Akaki Kality,27.442656820164665,0.006177294913671093,0.0061371663940969975,0.006138021738133875,1371.1555818244142,577954.2465810776,1458805.890458251,2.0,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.6863758007,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836
2023-10,Arada,27.680428976067276,0.0004035347594212756,0.00040225247760791,0.000400843840303629,193.6232998336571,129547.9833984375,154371.31172405052,6.0,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676
2023-10,Bole,28.201621700232195,0.003411370455190273,0.0034004515931622043,0.0034007491671383533,1718.1717970164837,591126.6415710449,1126020.3433838214,24.0,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997
2023-10,Gulele,22.36530289333924,0.0013176780670930842,0.0013125213344606559,0.0013283974292406123,307.25844149878856,191815.6131362915,343757.35125622124,2.0,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.3826680482
2023-10,Kirkos,28.318845934179762,0.0009174589014837497,0.0009109304678265366,0.0009110915660838466,662.7980098658138,246195.3955078125,407445.71887208143,27.0,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186
2023-10,Kolfe Keraniyo,26.334740922919206,0.0028994297946933205,0.002886574110394313,0.00288419208143663,1007.5940593600081,588912.7861328125,999778.8262524343,10.0,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.20826516709,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086
2023-10,Lemi Kura,26.18969783969858,0.0037294138337559245,0.0037050360568297263,0.0037083061230174692,956.2898532952617,477004.73025512695,1077463.223131778,4.0,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532
2023-10,Lideta,28.10760241555383,0.000575247455887354,0.000571696347634874,0.0005722742651273343,339.6174169237487,149520.572265625,238256.11138927197,21.0,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013433,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287
2023-10,Nifas Silk Lafto,28.053857404003168,0.0027268224718923224,0.002718224482701585,0.0027221242169894236,1016.4156687496989,546690.8269042969,1020947.5290218766,8.0,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432797,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727
2023-10,Yeka,24.720421165792736,0.0024669717824302015,0.002448861993946067,0.0024493968897439057,662.443059893046,411173.4640197754,629507.8244182687,8.0,6820.175402169005,22872.035526742056,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746
2023-11,Addis Ketema,27.970474373264757,0.001270592642017403,0.0012595710131950131,0.0012547765541998934,350.87441715912263,280921.71484375,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
2023-11,Akaki Kality,27.83067898435321,0.0063903475906222735,0.006377944572427756,0.006381968404249803,1344.1017444720346,577954.2465810776,1458805.8904582507,2.0,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.68637580072,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836
2023-11,Arada,29.450063809368324,0.00047801393993106305,0.0004782412852484509,0.00047716588317508075,219.87550423027557,129547.9833984375,154371.31172405052,6.0,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676
2023-11,Bole,28.705189266156424,0.003870446856279006,0.003841440079390196,0.0038431173311280244,1900.1708608424221,591126.6415710449,1126020.3433838214,24.0,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384649,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997
2023-11,Gulele,23.623338974839974,0.0015061779512710093,0.0015066490567349738,0.0015247643083123692,304.07803172273293,191815.6131362915,343757.35125622124,2.0,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.38266804823
2023-11,Kirkos,29.828725823765833,0.001129716977387739,0.0011219952573400674,0.0011130995686911235,783.1806456777784,246195.3955078125,407445.71887208143,27.0,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186
2023-11,Kolfe Keraniyo,27.819863078337303,0.0034606382222655153,0.003416832909822699,0.003416829726340507,1158.100612411859,588912.7861328125,999778.8262524343,10.0,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.208265167086,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086
2023-11,Lemi Kura,27.040952994535715,0.003926806649726437,0.003921901329429786,0.0039276296748130424,1038.3026313181974,477004.73025512695,1077463.223131778,4.0,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532
